bookID,title,authors,average_rating,isbn,  num_pages,publication_date,publisher,
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,652,9/16/06,Scholastic Inc.,
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078,870,9/1/04,Scholastic Inc.,
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,352,11/1/03,Scholastic,
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,435,5/1/04,Scholastic Inc.,
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,439682584,2690,9/13/04,Scholastic,
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,152,4/26/05,Nimble Books,
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,3342,9/12/05,Scholastic,
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,815,11/1/05,Gramercy Books,
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,815,4/30/02,Del Rey Books,
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,215,8/3/04,Crown,
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206,6,3/23/05,Random House Audio,
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,815,1/17/96,Wings Books,
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,544,9/14/04,Broadway Books,
22,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,55,12/3/02,Broadway Books,
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,256,9/14/04,Broadway Books,
24,In a Sunburned Country,Bill Bryson,4.07,767903862,335,5/15/01,Broadway Books,
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,304,6/28/00,Broadway Books,
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,299,8/28/90,William Morrow Paperbacks,
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,254,3/28/93,William Morrow Paperbacks,
28,Notes from a Small Island,Bill Bryson,3.91,380727501,324,5/28/97,William Morrow Paperbacks,
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,270,9/28/91,William Morrow Paperbacks,
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,1728,9/25/12,Ballantine Books,
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,1184,10/21/04,Houghton Mifflin Harcourt,
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,398,9/5/03,Houghton Mifflin Harcourt,
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,618260587,1216,10/1/02,Houghton Mifflin Harcourt,
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,218,11/5/03,Houghton Mifflin Harcourt,
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,224,11/15/04,Houghton Mifflin Harcourt,
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,558,7/28/05,Pragmatic Bookshelf,
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,208,4/1/00,Atheneum Books for Young Readers: Richard Jackson Books,
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,1557344493,48,8/28/94,Teacher Created Resources,
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,144,1/23/01,Delacorte Press,
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,56,6/10/03,Cherry Lane Music Company,
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,228,11/1/05,The New Press,
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,304,11/1/05,Changeling Press,
58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,256,8/17/06,Viking Juvenile,
59,The Changeling Sea,Patricia A. McKillip,4.06,141312629,137,4/14/03,Firebird,
61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,228,6/8/04,iUniverse,
63,The Changeling,Kate Horsley,3.55,1590301943,339,4/12/05,Shambhala,
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,369,8/28/90,Ivy Books,
67,The Known World,Edward P. Jones,3.83,61159174,388,8/29/06,Amistad,
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,14,6/15/04,HarperAudio,
69,The Known World,Edward P. Jones,3.83,60749911,576,6/15/04,Harper,
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,334,5/15/06,FT Press,
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,352,12/14/05,Archaia,
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,416,6/1/82,Farrar  Straus and Giroux,
75,Uncommon Carriers,John McPhee,3.95,374280398,248,5/16/06,Farrar Straus Giroux,
76,Heirs of General Practice,John McPhee,4.17,374519749,128,4/1/86,Farrar  Straus and Giroux,
77,The Control of Nature,John McPhee,4.24,374522596,288,9/1/90,Farrar  Straus and Giroux,
78,Annals of the Former World,John McPhee,4.34,374518734,720,1/6/99,Farrar  Straus and Giroux,
79,Coming Into the Country,John McPhee,4.22,374522871,448,4/1/91,Farrar  Straus and Giroux,
80,La Place de la Concorde Suisse,John McPhee,3.92,374519323,160,4/1/94,Farrar  Straus and Giroux,
